# text = I gave an apple to the teacher
#ID	FORM	LEMMA	UPOSTAG		XPOSTAG		FEATS 		HEAD	DEPREL  	DEPS		MISC
1	I		I		PRON		_			_			2		nsubj		_			_
2	gave	give	VERB 		_			_			0		root		_			_
3	an		an		DET			_			_			4		det			_			_
4	apple	apple	NOUN		_			_			2		obj			_			_
5	to		to		ADP			_			_			7		case		_			_
6	the		the 	DET			_			_			7		det			_			_
7	teacher teacher	NOUN		_			_			2		iobj		_			_

# text = Mary missed her train to work
#ID	FORM	LEMMA	UPOSTAG		XPOSTAG		FEATS 		HEAD	DEPREL  	DEPS		MISC
1	Mary	Mary	PROPN		_			_			2		nsubj		_			_
2	missed	miss	VERB		_			_			0		root		_			_
3	her		her		PRON		_			_			4		det			_			_
4	train	train	NOUN		_			_			2		obj			_			_
5	to 		to		ADP			_			_			6		det			_			_
6	work	work	VERB		_			_			4		acl			_			_

# text = John gave the teacher a very heavy book
#ID	FORM	LEMMA	UPOSTAG		XPOSTAG		FEATS 		HEAD	DEPREL  	DEPS		MISC
1	John	John	PROPN		_			_			2		nsubj		_			_
2	gave	give	VERB		_			_			0		root		_			_
3	the		the		DET			_			_			4		det			_			_
4	teacher	teacher	NOUN		_			_			2		iobj		_			_
5	a		a		DET			_			_			8		det			_			_
6	very	very	ADV			_			_			7		advmod		_			_
7	heavy	heavy	ADJ			_			_			8		amod		_			_
8	book	book	NOUN		_			_			2		obj			_			_

# text = The sun shines
#ID	FORM	LEMMA	UPOSTAG		XPOSTAG		FEATS 		HEAD	DEPREL  	DEPS		MISC
1	The		The		DET			_			_			2		det			_			_
2	sun		sun		NOUN		_			_			3		nsubj		_			_
3	shines	shine	VERB		_			_			0		root		_			_

# text = This is the dog that chased the cat
#ID	FORM	LEMMA	UPOSTAG		XPOSTAG		FEATS 		HEAD	DEPREL  	DEPS		MISC
1	This	This	PRON		_			_			4		nsubj		_			_
2	is		be		VERB		_			_			4		cop			_			_
3	the		the		DET			_			_			4		det			_			_
4	dog		dog		NOUN		_			_			0		root		_			_
5	that	that	PRON		_			_			6		nsubj		_			_
6	chase	chase	VERB		_			_			4		acl:rol		_			_
7	the		the		DET			_			_			8		det			_			_
8	cat		cat		NOUN		_			_			6		obj			_			_

# text = I saw the doctor this morning who is treating me
#ID	FORM	LEMMA	UPOSTAG		XPOSTAG		FEATS 		HEAD	DEPREL  	DEPS		MISC
1	I		I		PRON		_			_			2		nsubj		_			_
2	saw		see		VERB		_			_			0		root		_			_
3	the		the		DET			_			_			4		det			_			_
4	doctor	doctor	NOUN		_			_			2		obj			_			_
5	this	this	PRON		_			_			6		det			_			_
6	morning	morning NOUN		_			_			2		iobj		_			_
7	who		who		PRON		_			_			9		nsubj		_			_
8	is		be		VERB		_			_			9		aux			_			_
9 	treating treat	VERB		_			_			4		acl			_			_
10	me		me		PRON		_			_			9		obj			_			_

# text = This is the cat that the dog chased
#ID	FORM	LEMMA	UPOSTAG		XPOSTAG		FEATS 		HEAD	DEPREL  	DEPS		MISC
1	This	I		PRON		_			_			4		nsubj		_			_
2	is		be		VERB		_			_			4		cop			_			_
3	the		the		DET			_			_			4		det			_			_
4	cat		cat		NOUN		_			_			0		root		_			_
5	that	that	PRON		_			_			8		mark		_			_
6	the		the		DET			_			_			7		det			_			_
7	dog		dog		NOUN		_			_			8		nsubj		_			_
8	chased	chase	VERB		_			_			4		ccomp		_			_

# text = John is eager to please
#ID	FORM	LEMMA	UPOSTAG		XPOSTAG		FEATS 		HEAD	DEPREL  	DEPS		MISC
1	John	John	PROPN		_			_			3		nsubj		_			_
2	is		be		VERB		_			_			3		cop			_			_
3	eager	eager	ADV			_			_			0		root		_			_
4	to		to		DET			_			_			5		mark		_			_
5	please	please	VERB		_			_			3		xcomp		_			_
